Country Name;Region;Country Code;GDP;GDP per Capita;GDP Growth;Agriculture;Export;Import;Expense;Gross Saving;Revenue
Brunei Darussalam;SEA;BRN;12005825770;27443;1.13;1.22;57.36;52.93;Unreported;50.91;Unreported
Indonesia;SEA;IDN;1058423838345;3870;-2.07;13.70;17.17;16.02;14.49;29.61;12.35
Cambodia;SEA;KHM;25808561551;1544;-3.15;22.38;61.19;62.62;15.78;27.42;22.79
Lao PDR;SEA;LAO;19132635712;2630;0.50;16.21;36.79;54.47;Unreported;17.64;Unreported
Myanmar;SEA;MMR;79852046611;1468;3.17;21.98;28.32;26.15;14.74;29.77;15.40
Malaysia;SEA;MYS;337006066373;10412;-5.65;8.19;61.43;54.99;17.35;23.97;17.47
Philippines;SEA;PHL;361489325231;3299;-9.57;10.18;25.19;32.99;14.84;24.90;16.07
Singapore;SEA;SGP;339998477930;59798;-5.39;0.03;176.24;144.32;14.24;40.24;21.04
Thailand;SEA;THA;501643653515;7187;-6.10;8.63;51.46;46.53;17.93;27.75;19.26
Vietnam;SEA;VNM;271158442449;2786;2.91;14.85;105.55;102.70;Unreported;23.16;Unreported
